name;subject_en;subject_fi;subject_en_GB;html_file_name;text_file_name;variables;schedule_params;type
User package;Here is your receipt for subscription en;Here is your receipt for subscription fi;Here is your receipt for subscription en;user_subscription.html;user_subscription.txt;{{user_first_name}};"{""params"":[""new_adverts_in_last_x_hours"",""max_x_adverts""],""params_value"":[""24"",""20""],""params_help"":[""new adverts in last 24(X) hours"",""Max: 20(X) adverts.""]}";1,2,3,4,10
Ad Review;You have a review;You have a review;You have a review;ad_review.html;ad_review.txt;{{user_first_name}};"{""params"":[""new_adverts_in_last_x_hours"",""max_x_adverts""],""params_value"":[""24"",""20""],""params_help"":[""new adverts in last 24(X) hours"",""Max: 20(X) adverts.""]}";1,2
Welcome to your account;Welcome to your Fiare account;Welcome to your Fiare account;Welcome to your Fiare account;user_register.html;user_register.txt;{{user_first_name}};"{""params"":[""new_adverts_in_last_x_hours"",""max_x_adverts""],""params_value"":[""24"",""20""],""params_help"":[""new adverts in last 24(X) hours"",""Max: 20(X) adverts.""]}";1,2,3
Ad booking request message;Ad booking request message;Ad booking request message;Ad booking request message;ad_booking_request_message.html;ad_booking_request_message.txt;{{start_date}};"{""params"":[""new_adverts_in_last_x_hours"",""max_x_adverts""],""params_value"":[""24"",""20""],""params_help"":[""new adverts in last 24(X) hours"",""Max: 20(X) adverts.""]}";1
Ad Review Response;You have a review response;You have a review response;You have a review response;ad_review_response.html;ad_review_response.txt;{{user_first_name}};"{""params"":[""new_adverts_in_last_x_hours"",""max_x_adverts""],""params_value"":[""24"",""20""],""params_help"":[""new adverts in last 24(X) hours"",""Max: 20(X) adverts.""]}";1,2,3,4
Matching ads for SA;Here are objects on {{service}} that match your search agent;Here are objects on {{service}} that match your search agent;Here are objects on {{service}} that match your search agent;matched_searchagent_email_alert.html;matched_searchagent_email_alert.txt;{{user_full_name}};"{""params"":[""new_adverts_in_last_x_hours"",""max_x_adverts""],""params_value"":[""24"",""8""],""params_help"":[""new adverts in last 24(X) hours"",""Max: 20(X) adverts.""]}";1,2,3,4,10
Ad package;Here is your receipt for ad package en;Here is your receipt for ad package fi;Here is your receipt for ad package en;ad_package.html;ad_package.txt;{{user_first_name}};"{""params"":[""new_adverts_in_last_x_hours"",""max_x_adverts""],""params_value"":[""24"",""20""],""params_help"":[""new adverts in last 24(X) hours"",""Max: 20(X) adverts.""]}";1,2,3
Reset Password Link;Resetting your password;Resetting your password;Resetting your password;reset_password_link.html;reset_password_link.txt;{{user_full_name}},{{ url_password_reset }};"{""params"":[""new_adverts_in_last_x_hours"",""max_x_adverts""],""params_value"":[""24"",""20""],""params_help"":[""new adverts in last 24(X) hours"",""Max: 20(X) adverts.""]}";1,2,3,4
Password was changed;Your password was changed.;Your password was changed.;Your password was changed.;password_reset_confirmation.html;password_reset_confirmation.txt;{{user_full_name}};"{""params"":[""new_adverts_in_last_x_hours"",""max_x_adverts""],""params_value"":[""24"",""20""],""params_help"":[""new adverts in last 24(X) hours"",""Max: 20(X) adverts.""]}";1,2,3,4,10
Advert receipt;Here is your advert receipt en;Here is your advert receipt fi;Here is your advert receipt en;advert_receipt.html;advert_receipt.txt;{{user_name}};"{""params"":[""new_adverts_in_last_x_hours"",""max_x_adverts""],""params_value"":[""24"",""20""],""params_help"":[""new adverts in last 24(X) hours"",""Max: 20(X) adverts.""]}";1,2
Feedback Reply;Your feedback Reply;Your feedback reply;Your feedback Reply;feedback_reply.html;feedback_reply.txt;{{name}},{{comment}},{{created_at}},{{ad_id}};"{""params"":[]}";3,4
Feedback Forward;FWD: feedback forward;FWD: feedback forward;FWD: feedback forward;feedback_forward.html;feedback_forward.txt;{{name}},{{comment}},{{created_at}},{{ad_id}};"{""params"":[]}";3,4
List Export;Export: Your export is ready;Export: Your export is ready;Export: Your export is ready;list_export.html;list_export.txt;{{name}},{{created_at}};"{""params"":[]}";3,4
Email Verification;Please confirm your {{service}} account.;Please confirm your {{service}} account.;Please confirm your {{service}} account.;email_verification.html;email_verification.txt;{{confirmation_link}},{{email_address}};"{""params"":[]}";3,4
